"county","time_to_work","hh_total","hh_low_income","population","old","hh_low_income_prop","old_prop","old_prop_high","income_q","age_med","ed_total","higher_ed","race_total","white","other_race","other_race_prop","other_race_min","higher_ed_prop","aging_q","X","GEOID","variable","estimate","state","rtw_state","rtw_years","party"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1956,16001,"B19083_001",0.4497,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1957,16001,"DP02_0059",358124,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1958,16001,"DP02_0068",164971,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1959,16001,"DP05_0033",518907,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1960,16001,"DP05_0037",431985,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1952,16001,"B01001_026",256282,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1953,16001,"B01002_001",39.1,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1954,16001,"B19013_001",87774,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1951,16001,"B01001_002",262625,"Idaho",1,38,"Republican"
"Ada County, Idaho",213840,201322,5582,518907,84587,0.0277267263388999,0.163009942051273,1,1,39.1,358124,164971,518907,431985,86922,0.167509784990374,0,0.460653293272721,2,1955,16001,"B19058_001",201322,"Idaho",1,38,"Republican"
