"GEOID","county","ear22_total","ear22_lesshighschool","ear22_highschool","ear22_college","ear22_bachelor","ear22_graduate","higher_mean","ear22_total_q","state","rtw_state","rtw_years","party"
"01003","Baldwin County, Alabama",42029,30327,41041,35540,52171,61086,0,1,"Alabama",1,70,"Republican"
"01015","Calhoun County, Alabama",34482,28682,32747,36905,37304,56682,0,1,"Alabama",1,70,"Republican"
"01043","Cullman County, Alabama",40432,30374,38855,37336,62336,52650,0,1,"Alabama",1,70,"Republican"
"01049","DeKalb County, Alabama",36010,30255,36819,33459,52964,56571,0,1,"Alabama",1,70,"Republican"
"01051","Elmore County, Alabama",46690,26087,37999,46938,53129,60480,0,2,"Alabama",1,70,"Republican"
"01055","Etowah County, Alabama",37916,35993,32132,37467,58302,69421,0,1,"Alabama",1,70,"Republican"
"01069","Houston County, Alabama",40236,30631,32849,36044,53594,76109,0,1,"Alabama",1,70,"Republican"
"01073","Jefferson County, Alabama",46692,25064,32403,37825,59093,75032,0,2,"Alabama",1,70,"Republican"
"01077","Lauderdale County, Alabama",46073,33164,36701,47212,52551,63895,0,2,"Alabama",1,70,"Republican"
"01081","Lee County, Alabama",46739,29815,35484,43841,55072,63014,0,2,"Alabama",1,70,"Republican"
"01083","Limestone County, Alabama",51810,27471,36585,50250,65408,98130,1,3,"Alabama",1,70,"Republican"
"01089","Madison County, Alabama",53166,27435,37176,38569,66962,101175,1,4,"Alabama",1,70,"Republican"
"01095","Marshall County, Alabama",37475,29951,32435,35438,64044,56901,0,1,"Alabama",1,70,"Republican"
"01097","Mobile County, Alabama",41402,26248,35710,35898,53008,65910,0,1,"Alabama",1,70,"Republican"
"01101","Montgomery County, Alabama",38326,23354,31873,33337,47582,70232,0,1,"Alabama",1,70,"Republican"
"01103","Morgan County, Alabama",41683,22773,31863,43949,53775,70432,0,1,"Alabama",1,70,"Republican"
"01115","St. Clair County, Alabama",44739,36858,40450,47871,51476,65294,0,2,"Alabama",1,70,"Republican"
"01117","Shelby County, Alabama",56283,35146,38970,48856,63873,75101,1,4,"Alabama",1,70,"Republican"
"01121","Talladega County, Alabama",39934,45109,39370,36596,54938,70174,0,1,"Alabama",1,70,"Republican"
"01125","Tuscaloosa County, Alabama",44970,35048,35132,43355,58606,75741,0,2,"Alabama",1,70,"Republican"
"02020","Anchorage Municipality, Alaska",58766,46852,42169,53340,71733,95415,1,4,"Alaska",NA,NA,"Republican"
