"state","governor","party","born","prior_public_experience","inauguration","end_of_term"
"Alabama","Kay Ivey","Republican","(1944-10-15) October 15, 1944 (age 79)","Lieutenant GovernorState Treasurer",2017-04-10,"2027 (term limits)"
"Alaska","Mike Dunleavy","Republican","(1961-05-05) May 5, 1961 (age 62)","Alaska SenateMatanuska-Susitna Borough Board President",2018-12-03,"2026 (term limits)"
"Arizona","Katie Hobbs","Democratic","(1969-12-28) December 28, 1969 (age 54)","Secretary of StateMinority Leader of the Arizona SenateArizona House",2023-01-02,"2027"
"Arkansas","Sarah Huckabee Sanders","Republican","(1982-08-13) August 13, 1982 (age 41)","White House Press SecretaryWhite House Deputy Press Secretary",2023-01-10,"2027"
"California","Gavin Newsom","Democratic","(1967-10-10) October 10, 1967 (age 56)","Lieutenant GovernorMayor of San FranciscoSan Francisco Board of Supervisors",2019-01-07,"2027 (term limits)"
"Colorado","Jared Polis","Democratic","(1975-05-12) May 12, 1975 (age 48)","U.S. HouseColorado State Board of Education",2019-01-08,"2027 (term limits)"
"Connecticut","Ned Lamont","Democratic","(1954-01-03) January 3, 1954 (age 70)","Chair of the State Investment Advisory CouncilGreenwich Board of Estimate and TaxationGreenwich Board of Selectmen",2019-01-09,"2027"
"Delaware","John Carney","Democratic","(1956-05-20) May 20, 1956 (age 67)","U.S. HouseLieutenant GovernorState Secretary of FinanceChief of  Staff to Governor Tom Carper",2017-01-17,"2025 (term limits)"
"Florida","Ron DeSantis","Republican","(1978-09-14) September 14, 1978 (age 45)","U.S. HouseLieutenant Commander in the United States Navy",2019-01-08,"2027 (term limits)"
"Georgia","Brian Kemp","Republican","(1963-11-02) November 2, 1963 (age 60)","Secretary of StateGeorgia Senate",2019-01-14,"2027 (term limits)"
"Hawaii","Josh Green","Democratic","(1970-02-11) February 11, 1970 (age 53)","Lieutenant GovernorHawaii SenateHawaii House",2022-12-05,"2026"
"Idaho","Brad Little","Republican","(1954-02-15) February 15, 1954 (age 69)","Lieutenant GovernorIdaho Senate",2019-01-07,"2027"
"Illinois","J. B. Pritzker","Democratic","(1965-01-19) January 19, 1965 (age 59)","Co-Chair of Hillary Clinton 2008 presidential campaign",2019-01-14,"2027"
"Indiana","Eric Holcomb","Republican","(1968-05-02) May 2, 1968 (age 55)","Lieutenant GovernorChief of Staff to U.S. Senator Dan CoatsState Republican Party ChairYeoman in the United States Navy",2017-01-09,"2025 (term limits)"
